,hour,dayofweek,month,year,season,holiday,workingday,weather,temp,humidity,windspeed,count
7490,11,4,5,2012,2,0,1,1,22.96,35,16.9979,291
9405,6,5,9,2012,3,0,0,1,22.14,49,27.9993,33
7104,9,5,4,2012,2,0,0,1,17.22,54,8.9981,265
1008,12,6,3,2011,1,0,0,2,18.86,94,22.0028,79
9099,12,6,9,2012,3,0,0,3,30.34,70,0.0,545
8589,6,3,7,2012,3,0,1,1,29.52,66,8.9981,152
9226,19,4,9,2012,3,0,1,1,30.34,62,19.0012,568
8639,8,3,8,2012,3,0,1,1,29.52,74,7.0015,739
9218,11,4,9,2012,3,0,1,1,31.16,62,8.9981,296
10438,8,5,12,2012,4,0,0,2,9.84,87,8.9981,144
6011,17,0,2,2012,1,0,1,1,16.4,43,16.9979,430
1354,7,5,4,2011,2,0,0,2,10.66,70,7.0015,18
3185,15,1,8,2011,3,0,1,1,36.9,25,19.0012,168
1279,3,4,3,2011,1,0,1,1,14.76,71,12.998,5
6704,15,4,3,2012,1,0,1,3,18.86,82,7.0015,107
909,8,2,3,2011,1,0,1,1,9.84,65,19.0012,256
7820,5,2,6,2012,2,0,1,1,19.68,77,0.0,38
896,19,1,3,2011,1,0,1,1,12.3,49,8.9981,119
10625,3,6,12,2012,4,0,0,2,16.4,87,7.0015,48
2353,23,6,6,2011,2,0,0,1,25.42,78,8.9981,86
1141,5,5,3,2011,1,0,0,1,9.02,69,12.998,2
2519,21,6,6,2011,2,0,0,1,27.06,83,7.0015,140
7686,15,5,5,2012,2,0,0,1,29.52,30,7.0015,672
7365,6,6,5,2012,2,0,0,3,21.32,83,15.0013,17
5228,22,6,12,2011,4,0,0,1,9.02,55,0.0,43
1689,7,5,4,2011,2,0,0,2,16.4,82,27.9993,21
1049,6,1,3,2011,1,0,1,1,8.2,59,0.0,45
1292,17,4,3,2011,1,0,1,1,28.7,37,22.0028,332
422,15,2,1,2011,1,0,1,1,16.4,54,19.0012,82
1707,1,6,4,2011,2,0,0,1,17.22,67,15.0013,31
9038,23,5,8,2012,3,0,0,1,26.24,65,6.0032,235
3284,18,5,8,2011,3,0,0,2,29.52,79,30.0026,211
7997,14,2,6,2012,2,0,1,2,29.52,37,27.9993,320
3841,1,6,9,2011,3,0,0,2,25.42,88,0.0,88
9198,15,3,9,2012,3,0,1,1,30.34,66,12.998,270
2384,6,1,6,2011,2,0,1,1,24.6,78,8.9981,126
6451,1,1,3,2012,1,0,1,1,8.2,44,16.9979,6
2980,2,2,7,2011,3,0,1,1,31.16,55,0.0,5
10283,21,1,11,2012,4,0,1,1,12.3,49,23.9994,187
254,23,1,1,2011,1,0,1,3,6.56,93,6.0032,19
596,0,1,2,2011,1,0,1,2,11.48,87,0.0,10
2602,8,3,6,2011,2,0,1,2,24.6,69,8.9981,388
9729,18,1,10,2012,4,0,1,2,20.5,72,15.0013,784
9240,9,5,9,2012,3,0,0,1,28.7,74,26.0027,348
3319,5,0,8,2011,3,0,1,1,28.7,79,6.0032,15
5027,13,5,12,2011,4,0,0,1,14.76,50,6.0032,292
420,13,2,1,2011,1,0,1,1,16.4,62,19.0012,78
9568,1,2,10,2012,4,0,1,2,25.42,94,0.0,19
4117,14,0,10,2011,4,0,1,3,16.4,76,0.0,120
942,17,3,3,2011,1,0,1,1,10.66,22,0.0,202
2583,13,2,6,2011,2,0,1,1,30.34,28,19.0012,189
6644,3,2,3,2012,1,0,1,1,19.68,72,12.998,4
4388,21,4,10,2011,4,0,1,1,20.5,45,12.998,178
4114,11,0,10,2011,4,0,1,2,16.4,71,15.0013,126
3197,3,2,8,2011,3,0,1,2,31.16,55,6.0032,4
6978,2,0,4,2012,2,0,1,1,18.86,31,12.998,6
8911,16,0,8,2012,3,0,1,1,32.8,36,6.0032,464
8730,3,0,8,2012,3,0,1,3,29.52,79,6.0032,5
6596,3,0,3,2012,1,0,1,1,14.76,50,8.9981,2
10128,9,2,11,2012,4,0,1,2,10.66,60,19.0012,368
1179,20,6,3,2011,1,0,0,1,13.12,57,19.9995,77
108,17,2,1,2011,1,0,1,1,9.84,38,12.998,190
4258,11,6,10,2011,4,0,0,1,25.42,53,6.0032,423
7417,10,1,5,2012,2,0,1,2,23.78,68,27.9993,157
8225,2,2,7,2012,3,1,0,1,27.06,83,8.9981,93
1202,20,0,3,2011,1,0,1,1,13.94,46,15.0013,129
1684,2,5,4,2011,2,0,0,2,14.76,87,8.9981,24
10630,8,6,12,2012,4,0,0,3,16.4,87,11.0014,69
5352,2,5,12,2011,4,0,0,2,11.48,56,15.0013,58
3399,13,3,8,2011,3,0,1,1,31.16,31,15.0013,217
666,0,4,2,2011,1,0,1,1,4.1,49,7.0015,14
10443,13,5,12,2012,4,0,0,2,13.94,76,0.0,509
10432,2,5,12,2012,4,0,0,2,10.66,81,0.0,50
1098,9,3,3,2011,1,0,1,3,16.4,0,15.0013,24
10094,23,0,11,2012,4,0,1,1,10.66,60,8.9981,53
3657,7,5,9,2011,3,0,0,1,25.42,73,12.998,38
7199,8,2,4,2012,2,0,1,3,20.5,39,12.998,576
8218,19,1,7,2012,3,0,1,2,34.44,36,8.9981,497
4106,3,0,10,2011,4,0,1,1,14.76,81,0.0,7
9602,11,3,10,2012,4,0,1,2,28.7,70,7.0015,214
3331,17,0,8,2011,3,0,1,1,35.26,39,11.0014,527
2533,11,0,6,2011,2,0,1,1,27.06,41,19.9995,159
3407,21,3,8,2011,3,0,1,1,28.7,48,6.0032,206
8348,5,0,7,2012,3,0,1,2,27.06,83,15.0013,28
7285,22,2,5,2012,2,0,1,1,20.5,82,15.0013,173
2774,12,0,7,2011,3,1,0,2,31.98,52,0.0,447
9380,5,4,9,2012,3,0,1,1,22.14,83,0.0,41
2894,12,5,7,2011,3,0,0,1,32.8,46,16.9979,366
2452,2,4,6,2011,2,0,1,1,27.88,69,11.0014,13
6027,9,1,2,2012,1,0,1,1,13.12,49,0.0,289
8960,17,2,8,2012,3,0,1,1,30.34,55,19.0012,851
2392,14,1,6,2011,2,0,1,2,32.8,43,19.0012,146
4426,11,6,10,2011,4,0,0,1,22.96,35,19.0012,377
7364,5,6,5,2012,2,0,0,3,21.32,83,11.0014,11
1321,22,5,3,2011,1,0,0,1,16.4,37,22.0028,72
2669,3,6,6,2011,2,0,0,2,27.06,78,8.9981,30
1904,6,4,5,2011,2,0,1,1,14.76,81,6.0032,82
2056,14,3,5,2011,2,0,1,2,25.42,61,15.0013,191
4596,14,4,11,2011,4,0,1,1,18.04,47,19.9995,201
8543,8,1,7,2012,3,0,1,2,32.8,55,0.0,661
6072,6,3,2,2012,1,0,1,1,8.2,75,19.0012,76
5781,1,0,1,2012,1,1,0,1,5.74,43,7.0015,20
4026,19,6,9,2011,3,0,0,2,22.14,68,7.0015,245
9460,13,0,9,2012,3,0,1,1,26.24,65,16.9979,343
3748,3,2,9,2011,3,0,1,3,22.96,94,8.9981,2
9498,3,2,9,2012,3,0,1,2,21.32,63,16.9979,5
8232,9,2,7,2012,3,1,0,1,31.16,52,0.0,293
7955,20,0,6,2012,2,0,1,2,30.34,48,15.0013,394
2367,13,0,6,2011,2,0,1,1,31.98,35,0.0,180
7916,5,6,6,2012,2,0,0,1,25.42,69,6.0032,13
8993,2,4,8,2012,3,0,1,1,27.06,61,8.9981,19
10150,8,3,11,2012,4,0,1,1,12.3,33,19.0012,668
9142,7,1,9,2012,3,0,1,2,27.88,89,7.0015,493
7303,16,3,5,2012,2,0,1,1,27.88,57,11.0014,370
5185,3,5,12,2011,4,0,0,2,11.48,61,6.0032,25
3844,4,6,9,2011,3,0,0,1,24.6,83,8.9981,9
7822,7,2,6,2012,2,0,1,1,20.5,72,0.0,547
3863,23,6,9,2011,3,0,0,3,23.78,78,6.0032,45
8666,11,4,8,2012,3,0,1,2,34.44,49,19.0012,263
2917,11,6,7,2011,3,0,0,1,31.98,55,12.998,287
4797,23,5,11,2011,4,0,0,1,16.4,58,11.0014,101
7439,8,2,5,2012,2,0,1,2,24.6,83,8.9981,622
2009,15,1,5,2011,2,0,1,2,26.24,33,6.0032,180
7128,9,6,4,2012,2,0,0,1,22.14,56,15.0013,251
1485,18,3,4,2011,2,0,1,1,19.68,55,16.9979,333
6835,3,1,4,2012,2,0,1,1,15.58,46,0.0,3
3786,18,3,9,2011,3,0,1,3,26.24,94,23.9994,68
4679,1,1,11,2011,4,0,1,1,13.12,93,7.0015,11
932,7,3,3,2011,1,0,1,1,4.92,42,27.9993,111
9184,1,3,9,2012,3,0,1,2,28.7,84,0.0,18
5259,5,1,12,2011,4,0,1,1,7.38,86,0.0,20
5534,17,3,1,2012,1,0,1,2,14.76,34,12.998,412
6154,16,6,2,2012,1,0,0,1,8.2,34,31.0009,164
6769,8,0,3,2012,1,0,1,1,18.86,88,7.0015,579
2341,11,6,6,2011,2,0,0,2,26.24,69,7.0015,335
5657,21,1,1,2012,1,0,1,1,13.12,66,6.0032,116
10493,15,0,12,2012,4,0,1,1,24.6,56,0.0,268
4374,7,4,10,2011,4,0,1,3,22.96,88,12.998,147
4780,6,5,11,2011,4,0,0,1,9.02,75,11.0014,7
6954,2,6,4,2012,2,0,0,1,18.04,24,15.0013,32
1037,18,0,3,2011,1,0,1,1,13.12,31,15.0013,233
8119,16,0,6,2012,2,0,1,2,24.6,73,12.998,332
6509,11,3,3,2012,1,0,1,2,22.14,60,31.0009,204
3415,5,4,8,2011,3,0,1,1,24.6,56,8.9981,26
4281,10,0,10,2011,4,1,0,1,22.96,73,11.0014,265
1113,0,4,3,2011,1,0,1,2,13.94,100,6.0032,6
8421,6,3,7,2012,3,0,1,1,26.24,73,6.0032,178
5941,18,4,2,2012,1,0,1,1,15.58,40,8.9981,385
4293,22,0,10,2011,4,1,0,1,22.96,88,6.0032,126
10639,17,6,12,2012,4,0,0,3,14.76,93,8.9981,229
7235,20,3,4,2012,2,0,1,1,22.96,49,15.0013,404
7081,10,4,4,2012,2,0,1,1,18.04,38,12.998,192
5564,23,4,1,2012,1,0,1,1,14.76,50,0.0,101
6591,22,6,3,2012,1,0,0,1,16.4,54,12.998,94
2078,12,4,5,2011,2,0,1,2,21.32,88,12.998,223
1754,0,1,4,2011,2,0,1,1,20.5,55,15.0013,25
10231,17,6,11,2012,4,0,0,1,22.14,45,11.0014,493
3600,22,4,8,2011,3,0,1,1,24.6,88,8.9981,122
889,12,1,3,2011,1,0,1,1,12.3,39,8.9981,86
8890,19,6,8,2012,3,0,0,1,30.34,40,8.9981,465
7459,4,3,5,2012,2,0,1,1,18.86,77,12.998,2
5217,11,6,12,2011,4,0,0,1,10.66,35,0.0,197
4611,5,5,11,2011,4,0,0,1,10.66,60,22.0028,2
5599,10,6,1,2012,1,0,0,1,13.94,49,11.0014,208
423,16,2,1,2011,1,0,1,1,15.58,58,26.0027,104
6110,20,4,2,2012,1,0,1,2,13.12,57,0.0,151
2207,21,2,5,2011,2,0,1,1,21.32,88,0.0,85
5353,3,5,12,2011,4,0,0,1,10.66,60,12.998,26
10490,12,0,12,2012,4,0,1,1,21.32,68,11.0014,268
5177,19,4,12,2011,4,0,1,1,13.94,61,0.0,199
7489,10,4,5,2012,2,0,1,1,21.32,36,22.0028,210
7360,1,6,5,2012,2,0,0,2,22.14,83,15.0013,121
2477,3,5,6,2011,2,0,0,1,27.88,83,6.0032,28
994,21,5,3,2011,1,0,0,2,18.04,72,22.0028,72
841,12,4,2,2011,1,0,1,1,20.5,59,12.998,185
8565,6,2,7,2012,3,0,1,1,29.52,70,11.0014,162
9382,7,4,9,2012,3,0,1,2,22.96,88,0.0,454
5041,3,6,12,2011,4,0,0,1,11.48,75,0.0,41
8417,2,3,7,2012,3,0,1,2,27.06,65,6.0032,9
1138,2,5,3,2011,1,0,0,1,9.84,65,12.998,14
1970,0,0,5,2011,2,0,1,1,18.86,82,6.0032,53
9352,1,3,9,2012,3,0,1,1,22.14,77,6.0032,28
9176,17,2,9,2012,3,0,1,1,31.16,66,16.9979,863
2460,10,4,6,2011,2,0,1,1,31.98,52,0.0,111
3950,15,3,9,2011,3,0,1,2,24.6,69,27.9993,135
10028,5,5,11,2012,4,0,0,2,13.12,49,16.9979,9
6455,5,1,3,2012,1,0,1,1,7.38,51,15.0013,25
4408,17,5,10,2011,4,0,0,1,23.78,32,19.0012,441
1062,19,1,3,2011,1,0,1,1,13.94,31,7.0015,150
2997,19,2,7,2011,3,0,1,1,28.7,79,7.0015,419
10671,1,1,12,2012,4,0,1,1,17.22,71,30.0026,8
6487,13,2,3,2012,1,0,1,1,20.5,34,27.9993,205
5451,6,0,1,2012,1,1,0,1,10.66,41,26.0027,14
6122,8,5,2,2012,1,0,0,3,9.02,93,8.9981,78
4777,3,5,11,2011,4,0,0,1,9.84,70,8.9981,17
3336,22,0,8,2011,3,0,1,1,31.16,58,7.0015,147
1854,4,2,5,2011,2,0,1,3,15.58,94,22.0028,3
6667,2,3,3,2012,1,0,1,1,20.5,59,0.0,19
4952,10,5,11,2011,4,0,0,1,13.12,45,16.9979,200
6400,22,5,3,2012,1,0,0,1,18.04,21,8.9981,134
8532,21,0,7,2012,3,0,1,1,31.16,66,8.9981,328
2319,13,5,6,2011,2,0,0,1,30.34,28,8.9981,456
5181,23,4,12,2011,4,0,1,1,11.48,81,0.0,94
1044,1,1,3,2011,1,0,1,1,9.84,52,8.9981,4
9946,19,3,10,2012,4,0,1,2,22.96,68,19.9995,513
10798,8,6,12,2012,4,0,0,2,14.76,87,8.9981,88
1093,2,3,3,2011,1,0,1,3,13.94,0,16.9979,1
9355,4,3,9,2012,3,0,1,1,21.32,83,0.0,6
36,13,6,1,2011,1,0,0,2,14.76,66,8.9981,75
6732,19,5,3,2012,1,0,0,1,23.78,64,19.0012,417
1850,0,2,5,2011,2,0,1,3,21.32,77,11.0014,27
7006,6,1,4,2012,2,0,1,1,13.94,71,7.0015,103
3976,17,4,9,2011,3,0,1,2,21.32,48,8.9981,566
6064,22,2,2,2012,1,0,1,2,9.84,87,8.9981,98
6398,20,5,3,2012,1,0,0,1,18.04,30,8.9981,149
10407,1,0,11,2012,4,0,1,2,14.76,66,15.0013,19
6484,10,2,3,2012,1,0,1,1,14.76,50,19.9995,147
1106,17,3,3,2011,1,0,1,2,18.04,0,26.0027,111
10813,23,6,12,2012,4,0,0,2,14.76,93,8.9981,33
7525,22,5,5,2012,2,0,0,1,22.96,68,8.9981,274
5457,12,0,1,2012,1,1,0,1,11.48,36,16.9979,202
4331,12,2,10,2011,4,0,1,3,22.14,88,22.0028,62
9606,15,3,10,2012,4,0,1,1,29.52,54,19.0012,325
6311,5,6,2,2012,1,0,0,2,10.66,48,19.9995,2
7974,15,1,6,2012,2,0,1,3,27.06,89,12.998,116
2652,10,5,6,2011,2,0,0,1,29.52,62,12.998,244
1604,18,1,4,2011,2,0,1,3,18.04,77,15.0013,224
3555,1,3,8,2011,3,0,1,2,27.06,65,11.0014,24
4639,9,6,11,2011,4,0,0,2,12.3,75,6.0032,170
3346,8,1,8,2011,3,0,1,1,30.34,66,0.0,392
1921,23,4,5,2011,2,0,1,1,18.04,82,8.9981,120
9256,1,6,9,2012,3,0,0,1,22.96,73,15.0013,124
7865,2,4,6,2012,2,0,1,1,22.96,56,0.0,19
6214,4,2,2,2012,1,0,1,1,11.48,70,7.0015,1
8484,21,5,7,2012,3,0,0,1,28.7,84,15.0013,269
3685,11,6,9,2011,3,0,0,1,30.34,70,11.0014,337
5107,21,1,12,2011,4,0,1,2,18.04,100,12.998,114
7595,20,1,5,2012,2,0,1,3,26.24,73,8.9981,263
10525,23,1,12,2012,4,0,1,1,19.68,67,16.9979,96
3734,13,1,9,2011,3,0,1,3,22.14,88,19.9995,29
7133,14,6,4,2012,2,0,0,1,28.7,39,19.0012,628
2939,9,0,7,2011,3,0,1,1,31.98,59,19.9995,208
4043,12,0,9,2011,3,0,1,2,23.78,60,6.0032,189
2705,15,4,7,2011,3,0,1,1,33.62,21,16.9979,381
4016,9,6,9,2011,3,0,0,1,19.68,67,16.9979,140
1333,10,4,4,2011,2,0,1,1,13.12,66,19.0012,75
4922,4,4,11,2011,4,0,1,1,9.02,44,11.0014,5
1288,13,4,3,2011,1,0,1,1,26.24,41,19.0012,175
322,22,4,1,2011,1,0,1,2,6.56,69,0.0,36
8175,0,0,7,2012,3,0,1,2,31.16,58,15.0013,43
2903,21,5,7,2011,3,0,0,1,30.34,58,11.0014,238
9164,5,2,9,2012,3,0,1,2,28.7,79,19.9995,40
3201,7,2,8,2011,3,0,1,2,30.34,51,15.0013,271
6503,5,3,3,2012,1,0,1,1,17.22,77,15.0013,29
6850,18,1,4,2012,2,0,1,1,24.6,26,11.0014,800
7492,13,4,5,2012,2,0,1,1,24.6,26,26.0027,363
622,2,2,2,2011,1,0,1,1,3.28,38,19.0012,3
4913,19,3,11,2011,4,0,1,1,12.3,45,15.0013,217
2219,9,3,5,2011,2,0,1,2,22.14,88,6.0032,216
9051,12,6,8,2012,3,0,0,3,26.24,73,0.0,298
5149,15,3,12,2011,4,0,1,1,13.12,45,8.9981,117
9208,1,4,9,2012,3,0,1,1,25.42,88,7.0015,29
4795,21,5,11,2011,4,0,0,1,17.22,47,19.0012,122
2988,10,2,7,2011,3,0,1,1,33.62,46,12.998,113
5339,13,4,12,2011,4,0,1,2,13.94,39,23.9994,137
9307,4,1,9,2012,3,0,1,1,19.68,72,7.0015,9
7275,12,2,5,2012,2,0,1,2,23.78,83,15.0013,245
7065,18,3,4,2012,2,0,1,1,20.5,27,26.0027,610
5535,18,3,1,2012,1,0,1,1,13.94,36,11.0014,383
5423,1,6,1,2012,1,0,0,1,14.76,66,8.9981,93
6221,11,2,2,2012,1,0,1,1,14.76,53,19.0012,138
5072,10,0,12,2011,4,0,1,2,14.76,87,6.0032,87
2789,3,1,7,2011,3,0,1,1,27.06,74,15.0013,8
8566,7,2,7,2012,3,0,1,1,30.34,66,11.0014,495
9441,18,6,9,2012,3,0,0,1,25.42,50,11.0014,481
6867,11,2,4,2012,2,0,1,2,24.6,43,23.9994,213
9281,2,0,9,2012,3,0,1,1,22.14,60,23.9994,17
9251,20,5,9,2012,3,0,0,2,23.78,88,6.0032,194
1974,4,0,5,2011,2,0,1,1,17.22,82,11.0014,4
858,5,5,2,2011,1,0,0,1,16.4,15,22.0028,3
7086,15,4,4,2012,2,0,1,1,22.14,28,16.9979,352
9528,9,0,10,2012,4,0,1,2,21.32,63,0.0,340
3876,13,0,9,2011,3,0,1,1,29.52,54,7.0015,163
2438,12,3,6,2011,2,0,1,1,37.72,35,12.998,140
7896,9,5,6,2012,2,0,0,1,26.24,57,11.0014,340
3035,9,4,7,2011,3,0,1,1,27.88,54,12.998,207
8114,11,0,6,2012,2,0,1,2,22.14,88,11.0014,121
8095,16,6,6,2012,2,0,0,1,27.06,54,19.9995,580
